revelation_ref,canonical_source_refs,initial_relation,review_status,notes
Revelation 7:4,Genesis 49:1-28,candidate-reuse,awaiting-original-language-verification,
Revelation 7:9,Leviticus 23:40,candidate-reuse,awaiting-original-language-verification,
Revelation 7:10,Psalm 3:8,candidate-reuse,awaiting-original-language-verification,
Revelation 7:14,Genesis 49:11,candidate-reuse,awaiting-original-language-verification,
Revelation 7:15,Leviticus 26:11,candidate-reuse,awaiting-original-language-verification,
Revelation 7:16,Psalm 121:5-6; Isaiah 49:10,candidate-reuse,awaiting-original-language-verification,
Revelation 7:17,Psalm 23:1-2; Isaiah 25:8; Isaiah 35:10; Isaiah 65:19; Ezekiel 34:23,candidate-reuse,awaiting-original-language-verification,
Revelation 8:3,Psalm 141:2,candidate-reuse,awaiting-original-language-verification,
Revelation 8:4,Psalm 141:2,candidate-reuse,awaiting-original-language-verification,
Revelation 8:5,Ezekiel 10:2,candidate-reuse,awaiting-original-language-verification,
Revelation 8:5-6,Exodus 19:16,candidate-reuse,awaiting-original-language-verification,
Revelation 8:7,Exodus 9:23-24; Psalm 18:13; Isaiah 28:2,candidate-reuse,awaiting-original-language-verification,
Revelation 8:8,Exodus 7:17-19,candidate-reuse,awaiting-original-language-verification,
Revelation 8:10,Isaiah 14:12,candidate-reuse,awaiting-original-language-verification,
Revelation 8:11,Jeremiah 9:15; Jeremiah 23:15,candidate-reuse,awaiting-original-language-verification,
Revelation 8:12,Isaiah 13:10,candidate-reuse,awaiting-original-language-verification,
Revelation 9:1,Isaiah 14:12-14,candidate-reuse,awaiting-original-language-verification,
Revelation 9:2,Genesis 19:28; Exodus 19:18,candidate-reuse,awaiting-original-language-verification,Corrected impossible/likely typographical Exodus 19:8 candidate to Exodus 19:18.
Revelation 9:3,Exodus 10:12-15,candidate-reuse,awaiting-original-language-verification,
Revelation 9:4,Ezekiel 9:4,candidate-reuse,awaiting-original-language-verification,
Revelation 9:6,Job 3:21,candidate-reuse,awaiting-original-language-verification,
Revelation 9:8,Joel 1:6,candidate-reuse,awaiting-original-language-verification,
Revelation 9:9,Joel 2:5,candidate-reuse,awaiting-original-language-verification,
Revelation 9:11,Job 26:6; Job 28:22; Job 31:12; Psalm 88:11; Proverbs 15:11,candidate-reuse,awaiting-original-language-verification,
Revelation 9:14,Genesis 15:18; Deuteronomy 1:7; Joshua 1:4,candidate-reuse,awaiting-original-language-verification,
Revelation 10:1,Ezekiel 1:26-28,candidate-reuse,awaiting-original-language-verification,
Revelation 10:4,"Daniel 8:26; Daniel 12:4,9",candidate-reuse,awaiting-original-language-verification,
Revelation 10:5,Deuteronomy 32:40; Daniel 12:7,candidate-reuse,awaiting-original-language-verification,
